id,PitNextLap
439140,0.011557642
439141,0.011400907
439142,0.009152582
439143,0.30458215
439144,0.9708374
439145,0.2093023
439146,0.0017836083
439147,0.018812967
439148,0.10966012
439149,0.0028895042
439150,0.8687165
439151,0.005585108
439152,0.05800406
439153,0.0035730787
439154,0.0024488939
439155,0.990859
439156,0.017510114
439157,0.06458899
439158,0.038330182
439159,0.69662815
439160,0.8788799
439161,0.006093575
439162,0.0030245648
439163,0.96554404
439164,0.9305675
439165,0.0033001755
439166,0.0052317074
439167,0.0014124284
439168,0.005565363
439169,0.016537884
439170,0.004168405
439171,0.9372843
439172,0.0011921104
439173,0.6061316
439174,0.8606479
439175,0.97899824
439176,0.13353303
439177,0.038240552
439178,0.0024371326
439179,0.005222506
439180,0.67239183
439181,0.49863854
439182,0.04565273
439183,0.05611325
439184,0.14150603
439185,0.02337614
439186,0.0039303936
439187,0.0019458716
439188,0.009251202
439189,0.0022257408
439190,0.015317319
439191,0.8295403
439192,0.0085224565
439193,0.038711015
439194,0.007591062
439195,0.019679284
439196,0.03281471
439197,0.08821257
439198,0.0044588344
439199,0.8165573
439200,0.026205083
439201,0.8752992
439202,0.0029165123
439203,0.003435979
439204,0.0023068707
439205,0.0016516125
439206,0.99111146
439207,0.023789734
439208,0.022392558
439209,0.014555414
439210,0.14706916
439211,0.081356905
439212,0.007077182
439213,0.022505177
439214,0.04748997
439215,0.0019661551
439216,0.002583294
439217,0.68669444
439218,0.001881028
439219,0.9901991
439220,0.08538914
439221,0.75865316
439222,0.0034773184
439223,0.07882264
439224,0.89785343
439225,0.060573444
439226,0.98515064
439227,0.015777577
439228,0.10026019
439229,0.38836458
439230,0.84308946
439231,0.009491001
439232,0.016261633
439233,0.0117201125
439234,0.18400037
439235,0.0020460014
439236,0.46731108
439237,0.9729508
439238,0.84253055
439239,0.9362287
439240,0.050301675
439241,0.014475825
439242,0.0130999675
439243,0.0016819247
439244,0.005154806
439245,0.9343056
439246,0.0038846442
439247,0.92252576
439248,0.012643794
439249,0.004386464
439250,0.0016704623
439251,0.4617609
439252,0.625983
439253,0.011186604
439254,0.061141916
439255,0.028554063
439256,0.1637465
439257,0.20942008
439258,0.0028247435
439259,0.011368861
439260,0.0010781125
439261,0.03704566
439262,0.55555165
439263,0.0020815518
439264,0.96723247
439265,0.19591267
439266,0.010649848
439267,0.04491642
439268,0.033342265
439269,0.0025470813
439270,0.10830179
439271,0.0022546775
439272,0.03692736
439273,0.49054036
439274,0.100161195
439275,0.9037153
439276,0.00592057
439277,0.70962226
439278,0.45721084
439279,0.005008842
439280,0.004251604
439281,0.0018342617
439282,0.79491675
439283,0.022886597
439284,0.025710382
439285,0.057607323
439286,0.0050391704
439287,0.005555483
439288,0.67545587
439289,0.0015560908
439290,0.0076588807
439291,0.039386302
439292,0.055360217
439293,0.005212349
439294,0.6946617
439295,0.99185246
439296,0.2929569
439297,0.96130246
439298,0.01403159
439299,0.13982247
439300,0.7999779
439301,0.0023518049
439302,0.053601783
439303,0.0038920247
439304,0.020134762
439305,0.9378303
439306,0.9280344
439307,0.9740382
439308,0.0018873924
439309,0.008202281
439310,0.014257426
439311,0.032570448
439312,0.002823178
439313,0.07366844
439314,0.0448918
439315,0.06984165
439316,0.007134313
439317,0.05095458
439318,0.051461775
439319,0.0014220502
439320,0.010368553
439321,0.800971
439322,0.5575655
439323,0.13417293
439324,0.034080837
439325,0.0034447284
439326,0.006317046
439327,0.043907348
439328,0.008286193
439329,0.012021501
439330,0.02450234
439331,0.0052071367
439332,0.98466426
439333,0.15433076
439334,0.009157738
439335,0.0019984439
439336,0.9484648
439337,0.00062409247
439338,0.062875256
439339,0.20886733
439340,0.9039152
439341,0.05315239
439342,0.9521485
439343,0.078363664
439344,0.013036494
439345,0.9663811
439346,0.92599016
439347,0.77556837
439348,0.8018662
439349,0.0060152453
439350,0.0066563296
439351,0.877613
439352,0.56714857
439353,0.79094833
439354,0.001411953
439355,0.24514964
439356,0.8159835
439357,0.011717955
439358,0.0052981796
439359,0.6923822
439360,0.013587537
439361,0.0046770857
439362,0.009484024
439363,0.9648381
439364,0.008449629
439365,0.001120356
439366,0.0135052875
439367,0.8311466
439368,0.016175076
439369,0.023266787
439370,0.28846192
439371,0.9518386
439372,0.9449858
439373,0.67237365
439374,0.8987599
439375,0.013204082
439376,0.7091901
439377,0.30792195
439378,0.0065843053
439379,0.045275442
439380,0.8482441
439381,0.0049930676
439382,0.116149
439383,0.76431507
439384,0.09636194
439385,0.7280371
439386,0.037012506
439387,0.0066885473
439388,0.9217516
439389,0.009794415
439390,0.44994238
439391,0.51838607
439392,0.01147064
439393,0.9466488
439394,0.3438076
439395,0.06345874
439396,0.009413737
439397,0.21940918
439398,0.2126839
439399,0.021042446
439400,0.0022178001
439401,0.8102783
439402,0.0014776614
439403,0.18926926
439404,0.001965985
439405,0.8042561
439406,0.058073297
439407,0.0013564728
439408,0.0015538159
439409,0.9888637
439410,0.031909306
439411,0.95925736
439412,0.9659629
439413,0.042704795
439414,0.20048009
439415,0.025306975
439416,0.08381122
439417,0.087024
439418,0.43077672
439419,0.02916302
439420,0.7233139
439421,0.58572173
439422,0.113577805
439423,0.4449631
439424,0.21984376
439425,0.008558161
439426,0.030455919
439427,0.90996116
439428,0.0985159
439429,0.013361728
439430,0.9170601
439431,0.06768252
439432,0.8906494
439433,0.0042902343
439434,0.045704186
439435,0.045465652
439436,0.018838761
439437,0.9074952
439438,0.90442413
439439,0.057590783
439440,0.89321053
439441,0.0020873207
439442,0.009812295
439443,0.102940336
439444,0.0011755466
439445,0.0011179476
439446,0.083518885
439447,0.107335694
439448,0.4057666
439449,0.0027358828
439450,0.01339849
439451,0.0022631914
439452,0.012917299
439453,0.0035317773
439454,0.92095864
439455,0.094232
439456,0.011729379
439457,0.006201383
439458,0.012157337
439459,0.56709236
439460,0.5364279
439461,0.0031518466
439462,0.3675593
439463,0.031048164
439464,0.5107755
439465,0.9802399
439466,0.81776375
439467,0.50657284
439468,0.063710414
439469,0.00074545084
439470,0.27274865
439471,0.3571865
439472,0.10789943
439473,0.054200303
439474,0.015537417
439475,0.012077493
439476,0.19117483
439477,0.9093141
439478,0.04790537
439479,0.27337134
439480,0.38171226
439481,0.5613098
439482,0.0421949
439483,0.58045286
439484,0.5558615
439485,0.005562041
439486,0.54184294
439487,0.0013589206
439488,0.014032144
439489,0.4981244
439490,0.8168287
439491,0.0014370434
439492,0.48757654
439493,0.035865385
439494,0.6310075
439495,0.085387506
439496,0.025427042
439497,0.12050293
439498,0.6442984
439499,0.98533785
439500,0.0062790005
439501,0.30503717
439502,0.12831207
439503,0.81205785
439504,0.003445233
439505,0.19179435
439506,0.3234336
439507,0.031444736
439508,0.007326533
439509,0.2516929
439510,0.9454062
439511,0.0036628838
439512,0.003338452
439513,0.0017619074
439514,0.948843
439515,0.90369064
439516,0.9526591
439517,0.021195982
439518,0.0003236712
439519,0.0022918612
439520,0.18138313
439521,0.3888089
439522,0.38176042
439523,0.020581214
439524,0.02660502
439525,0.08569383
439526,0.8877677
439527,0.6105783
439528,0.053212464
439529,0.0068279505
439530,0.9647576
439531,0.0032220173
439532,0.0015160461
439533,0.0010260737
439534,0.07694554
439535,0.0022388115
439536,0.5019605
439537,0.85420454
439538,0.83867127
439539,0.9366514
439540,0.9394904
439541,0.0030520891
439542,0.0013720283
